Iso3_code,Country,Region,Indicator,Sex,Year,Counts,Homocide rate per 100 000 population
ABW,Aruba,Americas,homocide,Female,1999,1,2.22
ABW,Aruba,Americas,homocide,Female,2001,2,4.24
ABW,Aruba,Americas,homocide,Female,2002,1,2.09
ABW,Aruba,Americas,homocide,Female,2003,1,2.07
ABW,Aruba,Americas,homocide,Female,2004,0,0.0
ABW,Aruba,Americas,homocide,Female,2005,1,2.02
ABW,Aruba,Americas,homocide,Female,2006,1,2.0
ABW,Aruba,Americas,homocide,Female,2007,0,0.0
ABW,Aruba,Americas,homocide,Female,2008,1,1.95
ABW,Aruba,Americas,homocide,Female,2009,1,1.93
ABW,Aruba,Americas,homocide,Female,2010,0,0.0
ABW,Aruba,Americas,homocide,Female,2011,0,0.0
ABW,Aruba,Americas,homocide,Female,2012,1,1.87
ABW,Aruba,Americas,homocide,Female,2013,1,1.85
ABW,Aruba,Americas,homocide,Female,2014,0,0.0
ABW,Aruba,Americas,homocide,Male,1999,1,2.39
ABW,Aruba,Americas,homocide,Male,2001,2,4.6
ABW,Aruba,Americas,homocide,Male,2002,4,9.1
ABW,Aruba,Americas,homocide,Male,2003,3,6.77
ABW,Aruba,Americas,homocide,Male,2004,2,4.48
ABW,Aruba,Americas,homocide,Male,2005,5,11.09
ABW,Aruba,Americas,homocide,Male,2006,4,8.77
ABW,Aruba,Americas,homocide,Male,2007,3,6.5
ABW,Aruba,Americas,homocide,Male,2008,4,8.56
ABW,Aruba,Americas,homocide,Male,2009,3,6.34
ABW,Aruba,Americas,homocide,Male,2010,4,8.36
ABW,Aruba,Americas,homocide,Male,2011,2,4.14
ABW,Aruba,Americas,homocide,Male,2012,3,6.17
ABW,Aruba,Americas,homocide,Male,2013,5,10.22
ABW,Aruba,Americas,homocide,Male,2014,2,4.07
ABW,Aruba,Americas,homocide,All,1999,2,2.3
ABW,Aruba,Americas,homocide,All,2001,4,4.41
ABW,Aruba,Americas,homocide,All,2002,5,5.45
ABW,Aruba,Americas,homocide,All,2003,4,4.31
ABW,Aruba,Americas,homocide,All,2004,2,2.14
ABW,Aruba,Americas,homocide,All,2005,6,6.35
ABW,Aruba,Americas,homocide,All,2006,5,5.23
ABW,Aruba,Americas,homocide,All,2007,3,3.1
ABW,Aruba,Americas,homocide,All,2008,5,5.1
ABW,Aruba,Americas,homocide,All,2009,4,4.03
ABW,Aruba,Americas,homocide,All,2010,4,3.99
ABW,Aruba,Americas,homocide,All,2011,2,1.97
ABW,Aruba,Americas,homocide,All,2012,4,3.92
ABW,Aruba,Americas,homocide,All,2013,6,5.83
ABW,Aruba,Americas,homocide,All,2014,2,1.93
AFG,Afghanistan,Asia,homocide,Female,2018,261,1.44
AFG,Afghanistan,Asia,homocide,Female,2019,238,1.27
AFG,Afghanistan,Asia,homocide,All,2009,1115,4.07
AFG,Afghanistan,Asia,homocide,All,2010,983,3.49
AFG,Afghanistan,Asia,homocide,All,2011,1231,4.21
AFG,Afghanistan,Asia,homocide,All,2012,1948,6.39
AFG,Afghanistan,Asia,homocide,All,2015,3367,9.98
AFG,Afghanistan,Asia,homocide,All,2016,2318,6.69
AFG,Afghanistan,Asia,homocide,All,2017,2424,6.8
AFG,Afghanistan,Asia,homocide,All,2018,2474,6.74
